Timestamp,E_plus_445LVU_HS--o-_Avg1,E_plus_445LVU_HS--u-_Avg1,E_plus_413TU_HSS-m-_Avg1
2023-08-13 04:10:00+00:00,-8.1626723637,-8.6823919358,23.2934188843
2023-08-13 04:20:00+00:00,-8.1308911792,-8.6653049218,23.2800979614
2023-08-13 04:30:00+00:00,-8.0795423762,-8.6280497883,23.2667732239
2023-08-13 04:40:00+00:00,-8.0583533647,-8.6196610333,23.2534885406
2023-08-13 04:50:00+00:00,-8.0004543082,-8.5768534278,23.2399272919
2023-08-13 05:00:00+00:00,-7.9805310112,-8.5688295893,23.2261505127
2023-08-13 05:10:00+00:00,-7.9659800297,-8.5650278578,23.2123241425
2023-08-13 05:20:00+00:00,-7.9115962957,-8.5247193328,23.1984195709
2023-08-13 05:30:00+00:00,-7.8724841847,-8.4973311428,23.1842651367
2023-08-13 05:40:00+00:00,-7.8435485057,-8.4791169998,23.1701927185
2023-08-13 05:50:00+00:00,-7.8052124332,-8.4516271918,23.1562747955
2023-08-13 06:00:00+00:00,-7.7655737097,-8.4216937468,23.1423568726
2023-08-13 06:10:00+00:00,-7.7383980092,-8.4031885913,23.1288490295
2023-08-13 06:20:00+00:00,-7.7189412777,-8.3874596718,23.1155662537
2023-08-13 06:30:00+00:00,-7.7184469982,-8.3901989403,23.102645874
2023-08-13 06:40:00+00:00,-7.7045750562,-8.3816762343,23.0900382996
2023-08-13 06:50:00+00:00,-7.6827485917,-8.3629077648,23.0779094696
2023-08-13 07:00:00+00:00,-7.6783278522,-8.3609214398,23.0664653778
2023-08-13 07:10:00+00:00,-7.6783509627,-8.3608567738,23.0561637878
2023-08-13 07:20:00+00:00,-7.6888138037,-8.3622702963,23.0471134186
2023-08-13 07:30:00+00:00,-7.7439181482,-8.4056922753,23.0393238068
2023-08-13 07:40:00+00:00,-7.7446803452,-8.4000058523,23.0328521729
2023-08-13 07:50:00+00:00,-7.7901533307,-8.4260451858,23.0278606415
2023-08-13 08:00:00+00:00,-7.8300137817,-8.4527727968,23.0244064331
2023-08-13 08:10:00+00:00,-7.8534016077,-8.4603624028,23.0225791931
2023-08-13 08:20:00+00:00,-7.8926661612,-8.4930813373,23.0227546692
2023-08-13 08:30:00+00:00,-7.9295933302,-8.5158132033,23.0251121521
2023-08-13 08:40:00+00:00,-7.9528933797,-8.5245715093,23.0297966003
2023-08-13 08:50:00+00:00,-7.9943659857,-8.5505092093,23.0361175537
2023-08-13 09:00:00+00:00,-8.0455392667,-8.5834083003,23.0436611176
2023-08-13 09:10:00+00:00,-8.0836674532,-8.5975158268,23.0523452759
2023-08-13 09:20:00+00:00,-8.1357368822,-8.6274123198,23.0616035461
2023-08-13 09:30:00+00:00,-8.2095219197,-8.6782345103,23.071149826
2023-08-13 09:40:00+00:00,-8.2618269332,-8.7066944013,23.0810775757
2023-08-13 09:50:00+00:00,-8.3184833857,-8.7317220808,23.0913734436
2023-08-13 10:00:00+00:00,-8.3740219472,-8.7628704313,23.1021003723
